SaleID,ProductID,ProductName,Category,Price,Quantity,CustomerID,Date,TotalAmount,GroupID,GroupName,MarketTrendID,MarketTrendName,WebsiteAccessCategoryID,WebsiteAccessCategoryName
1,1,Phone X1,Phones,750.00,2,1,2024-07-01,1500.00,1,Group A,1,Increased Demand,1,Search Engines
2,2,Computer Y3,Computers,1600.00,1,2,2024-07-02,1600.00,1,Group A,2,New Product Launch,2,Social Media
3,3,Television Z2,Televisions,1200.00,1,3,2024-07-03,1200.00,2,Group B,3,Seasonal Discount,3,Referral Sites
4,4,Phone X2,Phones,800.00,3,4,2024-07-04,2400.00,2,Group B,4,Technological Advancement,4,Direct Traffic
5,5,Computer Y1,Computers,1100.00,1,5,2024-07-05,1100.00,3,Group C,5,Market Saturation,5,Email Marketing
6,6,Television Z1,Televisions,900.00,2,6,2024-07-06,1800.00,3,Group C,6,Increased Competition,6,Affiliate Marketing
7,7,Phone X3,Phones,900.00,1,7,2024-07-07,900.00,4,Group D,7,Changing Consumer Preferences,7,Online Ads
8,8,Computer Y2,Computers,1400.00,1,8,2024-07-08,1400.00,4,Group D,8,Global Economic Trends,8,Video Marketing
9,9,Television Z3,Televisions,1500.00,3,9,2024-07-09,4500.00,5,Group E,9,Environmental Concerns,9,Content Marketing
10,10,Phone X4,Phones,1000.00,2,10,2024-07-10,2000.00,5,Group E,10,Regulatory Changes,10,Mobile Marketing
11,11,Computer Y3,Computers,1600.00,1,11,2024-07-11,1600.00,6,Group F,11,Supply Chain Disruptions,11,Influencer Marketing
12,12,Television Z1,Televisions,900.00,2,12,2024-07-12,1800.00,6,Group F,12,Technological Innovation,12,Display Advertising
13,13,Phone X1,Phones,750.00,1,13,2024-07-13,750.00,7,Group G,13,Online Shopping Growth,13,Social Media
14,14,Computer Y2,Computers,1400.00,2,14,2024-07-14,2800.00,7,Group G,14,Social Media Influence,14,Search Engines
15,15,Television Z2,Televisions,1200.00,1,15,2024-07-15,1200.00,8,Group H,15,Health and Wellness Trends,15,Referral Sites
16,16,Phone X2,Phones,800.00,3,16,2024-07-16,2400.00,8,Group H,16,Remote Work Culture,16,Direct Traffic
17,17,Computer Y1,Computers,1100.00,1,17,2024-07-17,1100.00,9,Group I,17,Smart Home Integration,17,Email Marketing
18,18,Television Z3,Televisions,1500.00,2,18,2024-07-18,3000.00,9,Group I,18,Artificial Intelligence,18,Affiliate Marketing
19,19,Phone X3,Phones,900.00,1,19,2024-07-19,900.00,10,Group J,19,Digital Transformation,19,Online Ads
20,20,Computer Y4,Computers,1800.00,2,20,2024-07-20,3600.00,10,Group J,20,E-commerce Expansion,20,Video Marketing
21,21,Television Z1,Televisions,900.00,1,21,2024-07-21,900.00,11,Group K,21,Privacy and Security Concerns,21,Content Marketing
22,22,Phone X4,Phones,1000.00,2,22,2024-07-22,2000.00,11,Group K,22,Consumer Data Protection,22,Mobile Marketing
23,23,Computer Y3,Computers,1600.00,1,23,2024-07-23,1600.00,12,Group L,23,Augmented Reality,23,Influencer Marketing
24,24,Television Z2,Televisions,1200.00,2,24,2024-07-24,2400.00,12,Group L,24,Virtual Reality,24,Display Advertising
25,25,Phone X1,Phones,750.00,1,25,2024-07-25,750.00,13,Group M,25,Blockchain Technology,25,Social Media
26,26,Computer Y2,Computers,1400.00,2,26,2024-07-26,2800.00,13,Group M,26,Internet of Things (IoT),26,Search Engines
27,27,Television Z3,Televisions,1500.00,1,27,2024-07-27,1500.00,14,Group N,27,5G Technology Rollout,27,Referral Sites
28,28,Phone X2,Phones,800.00,3,28,2024-07-28,2400.00,14,Group N,28,Mobile Payment Growth,28,Direct Traffic
